# This file was produced by the NASA Exoplanet Archive  http://exoplanetarchive.ipac.caltech.edu
# Sat Oct  5 07:46:25 2024
#
# User preference: *
#
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN rastr:          RA [sexagesimal]
# COLUMN ra:             RA [deg]
# COLUMN decstr:         Dec [sexagesimal]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,rastr,ra,decstr,dec,sy_dist,sy_disterr1,sy_disterr2
2MASS J03590986+2009361 b,2MASS J03590986+2009361,1,1,03h59m09.86s,59.7911026,+20d09m35.91s,20.1599759,117.4350000,2.3200000,-2.2330000
2MASS J04414489+2301513 b,2MASS J04414489+2301513,1,1,04h41m44.91s,70.4371079,+23d01m51.08s,23.0308544,120.4239870,5.4783417,-5.4783417
2MASS J11011926-7732383 b,2MASS J11011926-7732383,1,1,11h01m19.09s,165.3295388,-77d32m38.73s,-77.5440912,,,
2MASS J11550485-7919108 b,2MASS J11550485-7919108,1,1,11h55m04.60s,178.7691634,-79d19m11.12s,-79.3197558,100.8620000,0.6030000,-0.5960000
2MASS J12073346-3932539 b,2MASS J12073346-3932539,1,1,12h07m33.38s,181.8890906,-39d32m54.38s,-39.5484399,64.3080000,0.6569000,-0.6440000
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,19h38m32.62s,294.6359173,+46d03m59.07s,46.0664076,396.3320000,6.3885000,-6.3885000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,21h25m27.91s,321.3662989,-81d38m29.36s,-81.6414894,34.1154000,0.0811000,-0.0807000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,22h36m24.62s,339.1025931,+47d51m42.06s,47.8616830,69.5737000,0.1592000,-0.1585000
30 Ari B b,30 Ari B,4,1,02h36m57.91s,39.2412736,+24d38m52.84s,24.6480103,44.6570000,0.1039000,-0.1034000
4 UMa b,4 UMa,1,1,08h40m12.67s,130.0528099,+64d19m40.98s,64.3280504,73.4603000,1.1860500,-1.1860500
42 Dra b,42 Dra,2,1,18h25m59.40s,276.4975053,+65d33m48.11s,65.5633652,90.6545000,1.3227000,-1.3227000
47 UMa b,47 UMa,1,3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,0.0289000,-0.0289000
47 UMa c,47 UMa,1,3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,0.0289000,-0.0289000
47 UMa d,47 UMa,1,3,10h59m27.54s,164.8647611,+40d25m49.78s,40.4304931,13.7967000,0.0289000,-0.0289000
51 Eri b,51 Eri,3,1,04h37m36.18s,69.4007424,-02d28m25.77s,-2.4738245,29.7575000,0.1213000,-0.1203000
51 Peg b,51 Peg,1,1,22h57m28.21s,344.3675399,+20d46m08.74s,20.7690958,15.4614000,0.0297000,-0.0297000
55 Cnc b,55 Cnc,2,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000
55 Cnc c,55 Cnc,2,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000
55 Cnc d,55 Cnc,2,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000
55 Cnc e,55 Cnc,2,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000
55 Cnc f,55 Cnc,2,5,08h52m35.24s,133.1468373,+28d19m47.34s,28.3298154,12.5855000,0.0124000,-0.0123000
6 Lyn b,6 Lyn,1,1,06h30m47.05s,97.6960311,+58d09m40.23s,58.1611753,54.6599000,0.2734000,-0.2734000
61 Vir b,61 Vir,1,3,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,0.0173700,-0.0173000
61 Vir c,61 Vir,1,3,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,0.0173700,-0.0173000
61 Vir d,61 Vir,1,3,13h18m23.15s,199.5964550,-18d18m56.79s,-18.3157745,8.5033200,0.0173700,-0.0173000
7 CMa b,7 CMa,1,2,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000,0.1648000,-0.1648000
7 CMa c,7 CMa,1,2,06h36m41.11s,99.1712760,-19d15m22.25s,-19.2561808,19.8101000,0.1648000,-0.1648000
70 Vir b,70 Vir,1,1,13h28m25.56s,202.1064898,+13d46m34.71s,13.7763085,17.9011000,0.0560000,-0.0557000
75 Cet b,75 Cet,2,2,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000,0.7236500,-0.7236500
75 Cet c,75 Cet,2,2,02h32m09.40s,38.0391598,-01d02m06.10s,-1.0350269,82.9613000,0.7236500,-0.7236500
8 UMi b,8 UMi,1,1,14h56m48.40s,224.2016850,+74d54m03.38s,74.9009379,162.5520000,0.6510000,-0.6460000
81 Cet b,81 Cet,1,1,02h37m41.85s,39.4243555,-03d23m46.90s,-3.3963607,101.2600000,1.2220000,-1.2220000
91 Aqr b,91 Aqr,3,1,23h15m53.88s,348.9745031,-09d05m16.11s,-9.0878076,44.0304000,0.5132500,-0.5132500
AB Aur b,AB Aur,1,1,04h55m45.85s,73.9410446,+30d33m03.92s,30.5510888,162.1270000,1.5260000,-1.4980000
AB Pic b,AB Pic,1,1,06h19m12.94s,94.8039208,-58d03m14.83s,-58.0541184,50.0475000,0.0735000,-0.0733000
AF Lep b,AF Lep,1,1,05h27m04.78s,81.7699216,-11d54m04.23s,-11.9011752,26.8564000,0.0189000,-0.0188000
AU Mic b,AU Mic,1,3,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,0.0046250,-0.0046250
AU Mic c,AU Mic,1,3,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,0.0046250,-0.0046250
AU Mic d,AU Mic,1,3,20h45m09.87s,311.2911369,-31d20m32.82s,-31.3424500,9.7221000,0.0046250,-0.0046250
BD+03 2562 b,BD+03 2562,1,1,11h50m15.53s,177.5647268,+02d45m36.39s,2.7601075,1070.6300000,63.8750000,-63.8750000
BD+14 4559 b,BD+14 4559,1,1,21h13m36.24s,318.4010002,+14d41m21.78s,14.6893834,49.3520000,0.0846000,-0.0844000
BD+15 2375 b,BD+15 2375,1,1,11h45m55.69s,176.4820239,+14d36m58.75s,14.6163182,768.0450000,45.0380000,-45.0380000
BD+15 2940 b,BD+15 2940,1,1,16h00m22.95s,240.0956400,+15d32m48.30s,15.5467507,426.4200000,6.4400000,-6.4400000
BD+20 2457 b,BD+20 2457,1,2,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,189.9250000,-189.9250000
BD+20 2457 c,BD+20 2457,1,2,10h16m44.83s,154.1867820,+19d53m28.55s,19.8912626,1539.7100000,189.9250000,-189.9250000
BD+20 274 b,BD+20 274,1,1,01h43m40.88s,25.9203179,+21d00m18.97s,21.0052692,1322.5100000,80.5350000,-80.5350000
BD+20 594 b,BD+20 594,1,1,03h34m36.27s,53.6511231,+20d35m56.47s,20.5990205,179.4610000,1.2570000,-1.2400000
BD+45 564 b,BD+45 564,1,1,02h11m47.29s,32.9470485,+45d55m27.19s,45.9242187,53.6220000,0.1919000,-0.1905000
BD+48 738 b,BD+48 738,1,1,02h42m50.47s,40.7102869,+49d35m12.98s,49.5869395,871.4930000,43.8490000,-43.8490000
BD+48 740 b,BD+48 740,1,1,02h42m58.21s,40.7425426,+48d55m48.21s,48.9300579,666.5890000,21.5335000,-21.5335000
BD+49 828 b,BD+49 828,1,1,03h02m33.75s,45.6406187,+49d43m47.81s,49.7299481,442.0420000,7.6540000,-7.6540000
BD+55 362 b,BD+55 362,1,1,01h35m51.28s,23.9636676,+56d41m53.62s,56.6982282,52.5697000,0.0974000,-0.0971000
BD+60 1417 b,BD+60 1417,1,1,12h43m33.01s,190.8875453,+60d00m51.71s,60.0143636,44.9543000,0.0593000,-0.0592000
BD+63 1405 b,BD+63 1405,1,1,18h05m35.50s,271.3979337,+63d40m12.02s,63.6700064,38.0473000,0.0329000,-0.0329000
BD-06 1339 b,BD-06 1339,1,2,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000,0.0220000,-0.0218000
BD-06 1339 c,BD-06 1339,1,2,05h53m00.28s,88.2511811,-05d59m46.82s,-5.9963378,20.2695000,0.0220000,-0.0218000
BD-08 2823 b,BD-08 2823,1,2,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000,0.0685000,-0.0682000
BD-08 2823 c,BD-08 2823,1,2,10h00m47.33s,150.1971964,-09d30m59.65s,-9.5165689,41.3342000,0.0685000,-0.0682000
BD-10 3166 b,BD-10 3166,1,1,10h58m28.59s,164.6191243,-10d46m13.52s,-10.7704227,84.4069000,0.3537000,-0.3508000
BD-11 4672 b,BD-11 4672,1,2,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000,0.0346000,-0.0346000
BD-11 4672 c,BD-11 4672,1,2,18h33m28.53s,278.3688659,-11d38m13.37s,-11.6370481,27.1665000,0.0346000,-0.0346000
BD-13 2130 b,BD-13 2130,1,1,07h37m09.23s,114.2884692,-13d54m24.01s,-13.9066703,925.2140000,41.2110000,-41.2110000
BD-14 3065 b,BD-14 3065 A,3,1,10h14m40.72s,153.6696689,-15d38m34.21s,-15.6428372,589.4230000,16.5990000,-15.7290000
BD-17 63 b,BD-17 63,1,1,00h28m33.92s,7.1413494,-16d13m38.37s,-16.2273254,34.4603000,0.0929000,-0.0924000
BD-210397 b,BD-210397,1,2,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324000,0.0228000,-0.0227000
BD-210397 c,BD-210397,1,2,02h13m12.58s,33.3024198,-21d11m46.37s,-21.1962147,23.7324000,0.0228000,-0.0227000
CD Cet b,CD Cet,1,1,03h13m24.72s,48.3530155,+04d46m30.68s,4.7751881,8.6071500,0.0065800,-0.0065800
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,14h58m29.00s,224.6208333,+10d13m43.0s,10.2286111,23.1000000,2.4000000,-2.4000000
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,16h27m44.23s,246.9342770,-23d58m52.14s,-23.9811500,,,
CHXR 73 b,CHXR 73,1,1,11h06m28.66s,166.6193985,-77d37m33.14s,-77.6258725,190.3740000,6.6470000,-6.2200000
CI Tau c,CI Tau,1,1,04h33m52.02s,68.4667685,+22d50m29.83s,22.8416192,157.9980000,1.1980000,-1.1800000
COCONUTS-2 b,COCONUTS-2 A,1,1,07h49m12.22s,117.3009140,-76d42m09.71s,-76.7026960,10.8864000,0.0041000,-0.0042000
CT Cha b,CT Cha,1,1,11h04m09.00s,166.0375038,-76d27m19.33s,-76.4553693,190.7200000,0.7780000,-0.7710000
CoRoT-1 b,CoRoT-1,1,1,06h48m19.17s,102.0798591,-03d06m07.70s,-3.1021394,787.9090000,23.4910000,-23.4910000
CoRoT-10 b,CoRoT-10,1,1,19h24m15.28s,291.0636813,+00d44m45.65s,0.7460143,338.3860000,3.9865000,-3.9865000
CoRoT-11 b,CoRoT-11,1,1,18h42m44.95s,280.6872998,+05d56m15.57s,5.9376586,655.0370000,24.9470000,-23.2090000
CoRoT-12 b,CoRoT-12,1,1,06h43m03.76s,100.7656871,-01d17m47.20s,-1.2964437,1126.3700000,55.7450000,-55.7450000
CoRoT-13 b,CoRoT-13,1,1,06h50m53.07s,102.7211432,-05d05m11.24s,-5.0864557,1148.9300000,62.1200000,-56.1500000
CoRoT-14 b,CoRoT-14,1,1,06h53m41.81s,103.4242023,-05d32m09.74s,-5.5360385,1744.6000000,173.0300000,-144.9000000
CoRoT-16 b,CoRoT-16,1,1,18h34m05.92s,278.5246658,-06d00m09.37s,-6.0026026,732.4090000,35.3440000,-32.2820000
CoRoT-17 b,CoRoT-17,1,1,18h34m47.82s,278.6992360,-06d36m44.24s,-6.6122880,1176.1200000,57.1700000,-52.1900000
CoRoT-18 b,CoRoT-18,1,1,06h32m41.38s,98.1724172,-00d01m53.78s,-0.0316045,764.8890000,27.6140000,-25.7840000
CoRoT-19 b,CoRoT-19,1,1,06h28m08.06s,97.0335983,-00d10m14.63s,-0.1707293,790.6630000,26.7370000,-25.0710000
CoRoT-2 b,CoRoT-2,2,1,19h27m06.49s,291.7770457,+01d23m01.19s,1.3836634,213.2830000,2.4850000,-2.4300000
CoRoT-20 b,CoRoT-20,1,2,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,844.0610000,24.1710000,-22.8830000
CoRoT-20 c,CoRoT-20,1,2,06h30m52.90s,97.7204249,+00d13m36.82s,0.2268931,844.0610000,24.1710000,-22.8830000
CoRoT-21 b,CoRoT-21,1,1,06h44m12.63s,101.0526207,-00d17m56.96s,-0.2991544,1398.8341969,286.4501849,-286.4501849
CoRoT-22 b,CoRoT-22,1,1,18h42m40.11s,280.6671392,+06d13m09.00s,6.2191669,627.1580000,11.1870000,-10.8080000
CoRoT-23 b,CoRoT-23,1,1,18h39m07.84s,279.7826586,+04d21m27.91s,4.3577516,1060.9700000,45.4700000,-41.9400000
CoRoT-24 b,CoRoT-24,1,2,06h47m41.41s,101.9225430,-03d43m09.44s,-3.7192892,591.5550000,16.0430000,-15.2320000
CoRoT-24 c,CoRoT-24,1,2,06h47m41.41s,101.9225430,-03d43m09.44s,-3.7192892,591.5550000,16.0430000,-15.2320000
CoRoT-25 b,CoRoT-25,1,1,18h42m31.12s,280.6296561,+06d30m49.76s,6.5138223,1103.4800000,44.2800000,-41.0500000
CoRoT-26 b,CoRoT-26,1,1,18h39m00.12s,279.7504991,+06d58m11.22s,6.9697828,1045.1800000,,
CoRoT-27 b,CoRoT-27,1,1,18h33m59.00s,278.4958319,+05d32m18.17s,5.5383811,1010.2800000,69.2600000,-61.0360000
CoRoT-28 b,CoRoT-28,1,1,18h34m45.20s,278.6883216,+05d34m25.29s,5.5736911,766.1830000,14.6850000,-14.1520000
CoRoT-29 b,CoRoT-29,1,1,18h35m36.50s,278.9020691,+06d28m46.45s,6.4795703,806.5070000,44.0270000,-39.7600000
CoRoT-3 b,CoRoT-3,1,1,19h28m13.27s,292.0552827,+00d07m18.61s,0.1218359,768.7710000,30.7910000,-28.5450000
CoRoT-30 b,CoRoT-30,1,1,18h30m24.28s,277.6011767,+06d50m09.36s,6.8359338,1032.2300000,48.5700000,-44.4670000
CoRoT-31 b,CoRoT-31,1,1,06h19m16.98s,94.8207350,-04d25m20.27s,-4.4222978,2005.7600000,169.7900000,-145.7100000
CoRoT-35 b,CoRoT-35,1,1,19h17m15.44s,289.3143526,-02d46m28.95s,-2.7747085,1123.2100000,55.9000000,-50.9200000
CoRoT-36 b,CoRoT-36,1,1,18h31m00.24s,277.7510149,+07d11m00.05s,7.1833465,925.9580000,27.7960000,-26.2470000
CoRoT-4 b,CoRoT-4,1,1,06h48m46.71s,102.1946233,-00d40m22.03s,-0.6727861,726.4120000,15.1810000,-14.5820000
CoRoT-5 b,CoRoT-5,1,1,06h45m06.54s,101.2772396,+00d48m54.78s,0.8152163,882.4720000,25.6200000,-25.6200000
CoRoT-6 b,CoRoT-6,1,1,18h44m17.41s,281.0725563,+06d39m47.54s,6.6632062,645.2940000,12.4530000,-11.9970000
CoRoT-7 b,CoRoT-7,1,3,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076,159.9060000,0.9170000,-0.9060000
CoRoT-7 c,CoRoT-7,1,3,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076,159.9060000,0.9170000,-0.9060000
CoRoT-7 d,CoRoT-7,1,3,06h43m49.48s,100.9561682,-01d03m46.83s,-1.0630076,159.9060000,0.9170000,-0.9060000
CoRoT-8 b,CoRoT-8,1,1,19h26m21.26s,291.5885696,+01d25m34.67s,1.4262972,322.0370000,2.7140000,-2.7140000
CoRoT-9 b,CoRoT-9,2,1,18h43m08.80s,280.7866461,+06d12m14.68s,6.2040783,412.9800000,4.7250000,-4.6220000
CoRoTID 223977153 b,CoRoTID 223977153,1,1,06h40m46.84s,100.1951714,+09d15m26.62s,9.2573953,576.6830000,10.4360000,-10.4360000
DE CVn b,DE CVn,2,1,13h26m52.97s,201.7207198,+45d32m43.96s,45.5455449,30.5225000,0.0284000,-0.0285000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,08h23m02.90s,125.7620668,-49d12m01.08s,-49.2003008,20.7700000,0.0800000,-0.0800000
DH Tau b,DH Tau,1,1,04h29m41.56s,67.4231674,+26d32m57.80s,26.5493897,134.8460000,1.2820000,-1.2580000
DMPP-1 b,DMPP-1,1,4,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388000,0.1782000,-0.1773000
DMPP-1 c,DMPP-1,1,4,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388000,0.1782000,-0.1773000
DMPP-1 d,DMPP-1,1,4,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388000,0.1782000,-0.1773000
DMPP-1 e,DMPP-1,1,4,05h47m06.27s,86.7761233,-10d37m49.16s,-10.6303217,62.5388000,0.1782000,-0.1773000
DMPP-2 b,DMPP-2,1,1,01h49m37.86s,27.4077310,-34d27m32.75s,-34.4590985,137.9400000,0.6810000,-0.6750000
DMPP-3 A b,DMPP-3 A,2,1,06h06m29.85s,91.6243820,-72d30m45.6s,-72.5126648,45.2300000,1.6000000,-1.7200000
DMPP-4 b,DMPP-4,1,1,19h34m19.84s,293.5826648,+51d14m08.90s,51.2358069,25.3284000,0.0382000,-0.0380000
DP Leo b,DP Leo,2,1,11h17m15.89s,169.3162193,+17d57m41.66s,17.9615717,305.6840000,33.5540000,-27.6040000
DS Tuc A b,DS Tuc A,2,1,23h39m39.71s,354.9154673,-69d11m45.75s,-69.1960430,44.0622000,0.0693000,-0.0691000
EPIC 201170410.02,EPIC 201170410,1,1,11h20m33.81s,170.1408561,-04d48m25.21s,-4.8070039,134.0000000,45.8000000,-39.8000000
EPIC 201238110 b,EPIC 201238110,1,1,11h58m49.40s,179.7058532,-03d23m22.06s,-3.3894613,159.2590000,1.4140000,-1.3900000
EPIC 201427007 b,EPIC 201427007,1,1,12h18m24.51s,184.6021322,-00d33m04.64s,-0.5512886,706.3910000,16.7900000,-16.7900000
EPIC 201497682 b,EPIC 201497682,1,1,11h15m44.80s,168.9366786,+00d29m17.02s,0.4880606,253.0260000,1.6640000,-1.6640000
EPIC 201595106 b,EPIC 201595106,1,1,12h14m52.89s,183.7203635,+01d58m05.41s,1.9681688,232.1000000,2.7060000,-2.6460000
EPIC 201615463 c,K2-166,1,2,12h20m45.14s,185.1880932,+02d16m56.56s,2.2823788,476.8820000,9.6920000,-9.3210000
EPIC 201754305 d,K2-16,1,3,11h40m23.33s,175.0972238,+04d33m26.75s,4.5574311,334.9670000,4.1785000,-4.1785000
EPIC 201757695.02,EPIC 201757695,1,1,11h35m45.24s,173.9385102,+04d36m59.15s,4.6164303,577.6000000,33.2000000,-29.8000000
EPIC 201833600 c,K2-50,1,2,11h17m56.08s,169.4836540,+05d59m17.84s,5.9882890,257.4430000,3.2390000,-3.2390000
EPIC 201841433 b,EPIC 201841433,1,1,11h40m49.62s,175.2067520,+06d08m05.33s,6.1348146,436.4880000,8.1780010,-7.8880000
EPIC 205950854 c,K2-168,1,2,22h12m26.42s,333.1100738,-16d20m30.79s,-16.3418863,243.9350000,4.2390000,-4.0990000
EPIC 206024342 b,EPIC 206024342,1,3,22h05m06.51s,331.2771441,-14d07m18.49s,-14.1218019,369.8880000,4.9900000,-4.8600000
EPIC 206024342 c,EPIC 206024342,1,3,22h05m06.51s,331.2771441,-14d07m18.49s,-14.1218019,369.8880000,4.9900000,-4.8600000
EPIC 206024342 d,EPIC 206024342,1,3,22h05m06.51s,331.2771441,-14d07m18.49s,-14.1218019,369.8880000,4.9900000,-4.8600000
EPIC 206032309 b,EPIC 206032309,1,1,22h44m57.71s,341.2404563,-13d54m04.04s,-13.9011223,161.3650000,1.7930000,-1.7930000
EPIC 206042996 b,EPIC 206042996,1,2,22h30m03.27s,337.5136198,-13d36m36.53s,-13.6101475,451.7690000,13.9760000,-13.1760000
EPIC 206042996 c,EPIC 206042996,1,2,22h30m03.27s,337.5136198,-13d36m36.53s,-13.6101475,451.7690000,13.9760000,-13.1760000
EPIC 206215704 b,EPIC 206215704,1,1,22h20m22.79s,335.0949721,-09d30m34.96s,-9.5097112,109.8880000,1.0800000,-1.0800000
EPIC 206317286 b,EPIC 206317286,1,2,22h30m28.28s,337.6178427,-07d58m20.84s,-7.9724560,314.3500000,2.9360000,-2.8820000
EPIC 206317286 c,EPIC 206317286,1,2,22h30m28.28s,337.6178427,-07d58m20.84s,-7.9724560,314.3500000,2.9360000,-2.8820000
EPIC 211822797 b,EPIC 211822797,1,1,08h41m38.45s,130.4102091,+17d38m23.91s,17.6399744,186.1970000,1.3645000,-1.3645000
EPIC 211945201 b,EPIC 211945201,1,1,09h06m17.81s,136.5741931,+19d24m07.40s,19.4020565,181.6900000,1.2950000,-1.2770000
EPIC 212297394 b,EPIC 212297394,1,2,13h48m49.47s,207.2061241,-17d36m35.63s,-17.6098985,418.3950000,7.3530000,-7.1070000
EPIC 212297394 c,EPIC 212297394,1,2,13h48m49.47s,207.2061241,-17d36m35.63s,-17.6098985,418.3950000,7.3530000,-7.1070000
EPIC 212424622 b,EPIC 212424622,1,1,13h29m19.53s,202.3313765,-14d21m33.97s,-14.3594358,611.8040000,10.2850000,-9.9560000
EPIC 212499991 b,EPIC 212499991,1,1,13h29m57.30s,202.4887520,-12d44m05.19s,-12.7347749,283.2900000,2.0430000,-2.0150000
EPIC 212587672 b,EPIC 212587672,1,2,13h41m46.68s,205.4445125,-10d51m45.17s,-10.8625468,320.0700000,6.3920000,-6.1520000
EPIC 212587672 c,EPIC 212587672,1,2,13h41m46.68s,205.4445125,-10d51m45.17s,-10.8625468,320.0700000,6.3920000,-6.1520000
EPIC 212624936 b,EPIC 212624936,1,2,14h02m33.03s,210.6376171,-10d01m25.27s,-10.0236852,561.9290000,8.9130000,-8.6440000
EPIC 212624936 c,EPIC 212624936,1,2,14h02m33.03s,210.6376171,-10d01m25.27s,-10.0236852,561.9290000,8.9130000,-8.6440000
EPIC 212737443 b,EPIC 212737443,1,2,13h36m53.16s,204.2215065,-07d19m05.01s,-7.3180577,336.2500000,4.7430000,-4.6150000
EPIC 212737443 c,EPIC 212737443,1,2,13h36m53.16s,204.2215065,-07d19m05.01s,-7.3180577,336.2500000,4.7430000,-4.6150000
EPIC 220492298 b,EPIC 220492298,1,1,01h07m02.76s,16.7615005,+06d35m19.67s,6.5887980,624.5120000,14.9470000,-14.9470000
EPIC 220554210 c,K2-282,1,2,00h53m43.72s,13.4321524,+07d59m43.05s,7.9952914,496.2890000,7.9020000,-7.6630000
EPIC 220674823 b,EPIC 220674823,1,2,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,244.5900000,3.0440000,-2.9720000
EPIC 220674823 c,EPIC 220674823,1,2,00h52m19.21s,13.0800239,+10d47m40.94s,10.7947051,244.5900000,3.0440000,-2.9720000
EPIC 228836835 b,EPIC 228836835,1,1,12h38m17.98s,189.5748998,-05d14m40.65s,-5.2446247,150.1240000,1.7990000,-1.7580000
EPIC 229004835 b,EPIC 229004835,1,1,12h25m56.65s,186.4860415,-01d24m17.00s,-1.4047214,121.9710000,0.8790000,-0.8660000
EPIC 246851721 b,EPIC 246851721,2,1,05h15m40.76s,78.9198197,+16d16m43.32s,16.2786991,372.6320000,19.4560000,-17.6440000
EPIC 248847494 b,EPIC 248847494,1,1,10h37m33.38s,159.3890808,+11d50m33.89s,11.8427484,551.8860000,12.7520000,-12.7520000
EPIC 249893012 b,EPIC 249893012,1,3,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.2960000,4.1890000,-4.0850000
EPIC 249893012 c,EPIC 249893012,1,3,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.2960000,4.1890000,-4.0850000
EPIC 249893012 d,EPIC 249893012,1,3,15h12m59.58s,228.2482353,-16d43m28.73s,-16.7246474,321.2960000,4.1890000,-4.0850000
FU Tau b,FU Tau,1,1,04h23m35.40s,65.8974962,+25d03m02.42s,25.0506711,133.4950466,22.9649891,-22.9649891
G 196-3 b,G 196-3,1,1,10h04m21.23s,151.0884754,+50d23m10.25s,50.3861806,21.7912000,0.0185500,-0.0185500
