
# COLUMN pl_name:        Planet Name
# COLUMN hostname:       Host Name
# COLUMN sy_snum:        Number of Stars
# COLUMN sy_pnum:        Number of Planets
# COLUMN st_lum:         Stellar Luminosity [log(Solar)]
# COLUMN st_lumerr1:     Stellar Luminosity Upper Unc. [log(Solar)]
# COLUMN st_lumerr2:     Stellar Luminosity Lower Unc. [log(Solar)]
# COLUMN st_lumlim:      Stellar Luminosity Limit Flag
# COLUMN ra:             RA [deg]
# COLUMN dec:            Dec [deg]
# COLUMN sy_dist:        Distance [pc]
# COLUMN sy_disterr1:    Distance [pc] Upper Unc
# COLUMN sy_disterr2:    Distance [pc] Lower Unc
#
pl_name,hostname,sy_snum,sy_pnum,st_lum,st_lumerr1,st_lumerr2,st_lumlim,ra,dec,sy_dist,sy_disterr1,sy_disterr2
2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,3,1.450,,,0,294.6359173,46.0664076,396.3320000,6.3885000,-6.3885000
2MASS J21252752-8138278 b,2MASS J21252752-8138278,1,1,-1.168,0.093,-0.118,0,321.3662989,-81.6414894,34.1154000,0.0811000,-0.0807000
2MASS J22362452+4751425 b,2MASS J22362452+4751425,1,1,-1.021,0.002,-0.002,0,339.1025931,47.8616830,69.5737000,0.1592000,-0.1585000
30 Ari B b,30 Ari B,4,1,0.381,0.001,-0.001,0,39.2412736,24.6480103,44.6570000,0.1039000,-0.1034000
4 UMa b,4 UMa,1,1,2.062,0.008,-0.008,0,130.0528099,64.3280504,73.4603000,1.1860500,-1.1860500
42 Dra b,42 Dra,2,1,2.155,0.007,-0.008,0,276.4975053,65.5633652,90.6545000,1.3227000,-1.3227000
47 UMa b,47 UMa,1,3,0.198,0.012,-0.011,0,164.8647611,40.4304931,13.7967000,0.0289000,-0.0289000
47 UMa c,47 UMa,1,3,0.198,0.012,-0.011,0,164.8647611,40.4304931,13.7967000,0.0289000,-0.0289000
47 UMa d,47 UMa,1,3,0.198,0.012,-0.011,0,164.8647611,40.4304931,13.7967000,0.0289000,-0.0289000
51 Eri b,51 Eri,3,1,0.850,0.060,-0.060,0,69.4007424,-2.4738245,29.7575000,0.1213000,-0.1203000
51 Peg b,51 Peg,1,1,0.136,0.007,-0.015,0,344.3675399,20.7690958,15.4614000,0.0297000,-0.0297000
55 Cnc b,55 Cnc,2,5,-0.197,0.012,-0.010,0,133.1468373,28.3298154,12.5855000,0.0124000,-0.0123000
55 Cnc c,55 Cnc,2,5,-0.197,0.012,-0.010,0,133.1468373,28.3298154,12.5855000,0.0124000,-0.0123000
55 Cnc d,55 Cnc,2,5,-0.197,0.012,-0.010,0,133.1468373,28.3298154,12.5855000,0.0124000,-0.0123000
55 Cnc e,55 Cnc,2,5,-0.197,0.012,-0.010,0,133.1468373,28.3298154,12.5855000,0.0124000,-0.0123000
55 Cnc f,55 Cnc,2,5,-0.197,0.012,-0.010,0,133.1468373,28.3298154,12.5855000,0.0124000,-0.0123000
6 Lyn b,6 Lyn,1,1,1.119,0.095,-0.098,0,97.6960311,58.1611753,54.6599000,0.2734000,-0.2734000
61 Vir b,61 Vir,1,3,-0.095,0.003,-0.003,0,199.5964550,-18.3157745,8.5033200,0.0173700,-0.0173000
61 Vir c,61 Vir,1,3,-0.095,0.003,-0.003,0,199.5964550,-18.3157745,8.5033200,0.0173700,-0.0173000
61 Vir d,61 Vir,1,3,-0.095,0.003,-0.003,0,199.5964550,-18.3157745,8.5033200,0.0173700,-0.0173000
7 CMa b,7 CMa,1,2,1.063,0.012,-0.008,0,99.1712760,-19.2561808,19.8101000,0.1648000,-0.1648000
7 CMa c,7 CMa,1,2,1.063,0.012,-0.008,0,99.1712760,-19.2561808,19.8101000,0.1648000,-0.1648000
70 Vir b,70 Vir,1,1,0.451,0.009,-0.010,0,202.1064898,13.7763085,17.9011000,0.0560000,-0.0557000
75 Cet b,75 Cet,2,2,1.714,0.012,-0.021,0,38.0391598,-1.0350269,82.9613000,0.7236500,-0.7236500
75 Cet c,75 Cet,2,2,1.714,0.012,-0.021,0,38.0391598,-1.0350269,82.9613000,0.7236500,-0.7236500
8 UMi b,8 UMi,1,1,1.725,0.003,-0.003,0,224.2016850,74.9009379,162.5520000,0.6510000,-0.6460000
81 Cet b,81 Cet,1,1,1.760,0.059,-0.041,0,39.4243555,-3.3963607,101.2600000,1.2220000,-1.2220000
91 Aqr b,91 Aqr,3,1,1.692,0.006,-0.006,0,348.9745031,-9.0878076,44.0304000,0.5132500,-0.5132500
AB Aur b,AB Aur,1,1,1.771,0.035,-0.038,0,73.9410446,30.5510888,162.1270000,1.5260000,-1.4980000
AB Pic b,AB Pic,1,1,-0.226,0.001,-0.001,0,94.8039208,-58.0541184,50.0475000,0.0735000,-0.0733000
AF Lep b,AF Lep,1,1,0.290,0.011,-0.011,0,81.7699216,-11.9011752,26.8564000,0.0189000,-0.0188000
AU Mic b,AU Mic,1,3,-0.990,0.010,-0.010,0,311.2911369,-31.3424500,9.7221000,0.0046250,-0.0046250
AU Mic c,AU Mic,1,3,-0.990,0.010,-0.010,0,311.2911369,-31.3424500,9.7221000,0.0046250,-0.0046250
AU Mic d,AU Mic,1,3,-1.038,0.049,-0.049,0,311.2911369,-31.3424500,9.7221000,0.0046250,-0.0046250
BD+03 2562 b,BD+03 2562,1,1,2.700,0.140,-0.140,0,177.5647268,2.7601075,1070.6300000,63.8750000,-63.8750000
BD+14 4559 b,BD+14 4559,1,1,-0.320,,,0,318.4010002,14.6893834,49.3520000,0.0846000,-0.0844000
BD+15 2375 b,BD+15 2375,1,1,1.570,0.100,-0.100,0,176.4820239,14.6163182,768.0450000,45.0380000,-45.0380000
BD+15 2940 b,BD+15 2940,1,1,2.010,0.750,-0.750,0,240.0956400,15.5467507,426.4200000,6.4400000,-6.4400000
BD+20 2457 b,BD+20 2457,1,2,3.170,,,0,154.1867820,19.8912626,1539.7100000,189.9250000,-189.9250000
BD+20 2457 c,BD+20 2457,1,2,3.170,,,0,154.1867820,19.8912626,1539.7100000,189.9250000,-189.9250000
BD+20 274 b,BD+20 274,1,1,1.960,0.180,-0.180,0,25.9203179,21.0052692,1322.5100000,80.5350000,-80.5350000
BD+20 594 b,BD+20 594,1,1,-0.056,0.068,-0.064,0,53.6511231,20.5990205,179.4610000,1.2570000,-1.2400000
BD+45 564 b,BD+45 564,1,1,-0.399,0.008,-0.012,0,32.9470485,45.9242187,53.6220000,0.1919000,-0.1905000
BD+48 738 b,BD+48 738,1,1,1.690,0.330,-0.330,0,40.7102869,49.5869395,871.4930000,43.8490000,-43.8490000
BD+48 740 b,BD+48 740,1,1,1.640,0.120,-0.120,0,40.7425426,48.9300579,666.5890000,21.5335000,-21.5335000
BD+49 828 b,BD+49 828,1,1,1.470,0.130,-0.130,0,45.6406187,49.7299481,442.0420000,7.6540000,-7.6540000
BD+55 362 b,BD+55 362,1,1,-0.313,0.014,-0.009,0,23.9636676,56.6982282,52.5697000,0.0974000,-0.0971000
BD+60 1417 b,BD+60 1417,1,1,0.356,0.010,-0.010,0,190.8875453,60.0143636,44.9543000,0.0593000,-0.0592000
BD+63 1405 b,BD+63 1405,1,1,-0.413,0.010,-0.013,0,271.3979337,63.6700064,38.0473000,0.0329000,-0.0329000
BD-06 1339 b,BD-06 1339,1,2,-1.022,0.043,-0.048,0,88.2511811,-5.9963378,20.2695000,0.0220000,-0.0218000
BD-06 1339 c,BD-06 1339,1,2,-1.022,0.043,-0.048,0,88.2511811,-5.9963378,20.2695000,0.0220000,-0.0218000
BD-08 2823 b,BD-08 2823,1,2,-0.626,0.001,-0.001,0,150.1971964,-9.5165689,41.3342000,0.0685000,-0.0682000
BD-08 2823 c,BD-08 2823,1,2,-0.626,0.001,-0.001,0,150.1971964,-9.5165689,41.3342000,0.0685000,-0.0682000
BD-10 3166 b,BD-10 3166,1,1,-0.191,0.002,-0.003,0,164.6191243,-10.7704227,84.4069000,0.3537000,-0.3508000
BD-11 4672 b,BD-11 4672,1,2,-0.804,0.050,-0.050,0,278.3688659,-11.6370481,27.1665000,0.0346000,-0.0346000
BD-11 4672 c,BD-11 4672,1,2,-0.804,0.050,-0.050,0,278.3688659,-11.6370481,27.1665000,0.0346000,-0.0346000
BD-13 2130 b,BD-13 2130,1,1,2.043,0.027,-0.028,0,114.2884692,-13.9066703,925.2140000,41.2110000,-41.2110000
BD-14 3065 b,BD-14 3065 A,3,1,1.060,0.030,-0.030,0,153.6696689,-15.6428372,589.4230000,16.5990000,-15.7290000
BD-17 63 b,BD-17 63,1,1,-0.678,0.040,-0.043,0,7.1413494,-16.2273254,34.4603000,0.0929000,-0.0924000
BD-210397 b,BD-210397,1,2,-0.870,0.006,-0.006,0,33.3024198,-21.1962147,23.7324000,0.0228000,-0.0227000
BD-210397 c,BD-210397,1,2,-0.870,0.006,-0.006,0,33.3024198,-21.1962147,23.7324000,0.0228000,-0.0227000
CD Cet b,CD Cet,1,1,-2.533,0.008,-0.008,0,48.3530155,4.7751881,8.6071500,0.0065800,-0.0065800
CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,,,,,224.6208333,10.2286111,23.1000000,2.4000000,-2.4000000
CFHTWIR-Oph 98 b,CFHTWIR-Oph 98 A,1,1,-2.850,0.060,-0.060,0,246.9342770,-23.9811500,,,
CHXR 73 b,CHXR 73,1,1,,,,,166.6193985,-77.6258725,190.3740000,6.6470000,-6.2200000
CI Tau c,CI Tau,1,1,-0.255,0.007,-0.007,0,68.4667685,22.8416192,157.9980000,1.1980000,-1.1800000
COCONUTS-2 b,COCONUTS-2 A,1,1,-1.732,0.011,-0.011,0,117.3009140,-76.7026960,10.8864000,0.0041000,-0.0042000
CT Cha b,CT Cha,1,1,-0.102,0.004,-0.004,0,166.0375038,-76.4553693,190.7200000,0.7780000,-0.7710000
CoRoT-1 b,CoRoT-1,1,1,0.298,0.029,-0.031,0,102.0798591,-3.1021394,787.9090000,23.4910000,-23.4910000
CoRoT-10 b,CoRoT-10,1,1,-0.726,0.012,-0.012,0,291.0636813,0.7460143,338.3860000,3.9865000,-3.9865000
CoRoT-11 b,CoRoT-11,1,1,0.378,0.023,-0.024,0,280.6872998,5.9376586,655.0370000,24.9470000,-23.2090000
CoRoT-12 b,CoRoT-12,1,1,0.070,0.010,-0.010,0,100.7656871,-1.2964437,1126.3700000,55.7450000,-55.7450000
CoRoT-13 b,CoRoT-13,1,1,0.073,0.048,-0.054,0,102.7211432,-5.0864557,1148.9300000,62.1200000,-56.1500000
CoRoT-14 b,CoRoT-14,1,1,0.119,0.079,-0.097,0,103.4242023,-5.5360385,1744.6000000,173.0300000,-144.9000000
CoRoT-16 b,CoRoT-16,1,1,-0.435,0.041,-0.045,0,278.5246658,-6.0026026,732.4090000,35.3440000,-32.2820000
CoRoT-17 b,CoRoT-17,1,1,0.134,0.045,-0.050,0,278.6992360,-6.6122880,1176.1200000,57.1700000,-52.1900000
CoRoT-18 b,CoRoT-18,1,1,-0.170,0.060,-0.060,0,98.1724172,-0.0316045,764.8890000,27.6140000,-25.7840000
CoRoT-19 b,CoRoT-19,1,1,0.544,0.024,-0.026,0,97.0335983,-0.1707293,790.6630000,26.7370000,-25.0710000
CoRoT-2 b,CoRoT-2,2,1,-0.131,0.058,-0.117,0,291.7770457,1.3836634,213.2830000,2.4850000,-2.4300000
CoRoT-20 b,CoRoT-20,1,2,0.170,0.180,-0.180,0,97.7204249,0.2268931,844.0610000,24.1710000,-22.8830000
CoRoT-20 c,CoRoT-20,1,2,0.006,0.028,-0.030,0,97.7204249,0.2268931,844.0610000,24.1710000,-22.8830000
CoRoT-21 b,CoRoT-21,1,1,0.705,,,0,101.0526207,-0.2991544,1398.8341969,286.4501849,-286.4501849
CoRoT-22 b,CoRoT-22,1,1,0.014,0.019,-0.019,0,280.6671392,6.2191669,627.1580000,11.1870000,-10.8080000
CoRoT-23 b,CoRoT-23,1,1,0.087,0.040,-0.044,0,279.7826586,4.3577516,1060.9700000,45.4700000,-41.9400000
CoRoT-24 b,CoRoT-24,1,2,-0.601,0.025,-0.027,0,101.9225430,-3.7192892,591.5550000,16.0430000,-15.2320000
CoRoT-24 c,CoRoT-24,1,2,-0.601,0.025,-0.027,0,101.9225430,-3.7192892,591.5550000,16.0430000,-15.2320000
CoRoT-25 b,CoRoT-25,1,1,0.141,0.039,-0.042,0,280.6296561,6.5138223,1103.4800000,44.2800000,-41.0500000
CoRoT-26 b,CoRoT-26,1,1,0.451,,,0,279.7504991,6.9697828,1045.1800000,,
CoRoT-27 b,CoRoT-27,1,1,-0.166,0.056,-0.064,0,278.4958319,5.5383811,1010.2800000,69.2600000,-61.0360000
CoRoT-28 b,CoRoT-28,1,1,0.388,0.021,-0.022,0,278.6883216,5.5736911,766.1830000,14.6850000,-14.1520000
CoRoT-29 b,CoRoT-29,1,1,-0.094,,,0,278.9020691,6.4795703,806.5070000,44.0270000,-39.7600000
CoRoT-3 b,CoRoT-3,1,1,0.391,0.036,-0.039,0,292.0552827,0.1218359,768.7710000,30.7910000,-28.5450000
CoRoT-30 b,CoRoT-30,1,1,-0.197,0.043,-0.047,0,277.6011767,6.8359338,1032.2300000,48.5700000,-44.4670000
CoRoT-31 b,CoRoT-31,1,1,0.398,0.075,-0.090,0,94.8207350,-4.4222978,2005.7600000,169.7900000,-145.7100000
CoRoT-35 b,CoRoT-35,1,1,0.362,,,0,289.3143526,-2.7747085,1123.2100000,55.9000000,-50.9200000
CoRoT-36 b,CoRoT-36,1,1,0.813,0.037,-0.030,0,277.7510149,7.1833465,925.9580000,27.7960000,-26.2470000
CoRoT-4 b,CoRoT-4,1,1,0.185,0.022,-0.023,0,102.1946233,-0.6727861,726.4120000,15.1810000,-14.5820000
CoRoT-5 b,CoRoT-5,1,1,0.180,0.050,-0.050,0,101.2772396,0.8152163,882.4720000,25.6200000,-25.6200000
CoRoT-6 b,CoRoT-6,1,1,0.026,0.020,-0.021,0,281.0725563,6.6632062,645.2940000,12.4530000,-11.9970000
CoRoT-7 b,CoRoT-7,1,3,-0.289,0.021,-0.015,0,100.9561682,-1.0630076,159.9060000,0.9170000,-0.9060000
CoRoT-7 c,CoRoT-7,1,3,-0.289,0.021,-0.015,0,100.9561682,-1.0630076,159.9060000,0.9170000,-0.9060000
CoRoT-7 d,CoRoT-7,1,3,-0.292,0.004,-0.004,0,100.9561682,-1.0630076,159.9060000,0.9170000,-0.9060000
CoRoT-8 b,CoRoT-8,1,1,-0.400,0.050,-0.050,0,291.5885696,1.4262972,322.0370000,2.7140000,-2.7140000
CoRoT-9 b,CoRoT-9,2,1,-0.254,0.012,-0.012,0,280.7866461,6.2040783,412.9800000,4.7250000,-4.6220000
CoRoTID 223977153 b,CoRoTID 223977153,1,1,-0.155,0.109,-0.146,0,100.1951714,9.2573953,576.6830000,10.4360000,-10.4360000
DE CVn b,DE CVn,2,1,-1.574,0.092,-0.117,0,201.7207198,45.5455449,30.5225000,0.0284000,-0.0285000
DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,,,,,125.7620668,-49.2003008,20.7700000,0.0800000,-0.0800000
DH Tau b,DH Tau,1,1,-0.212,,,0,67.4231674,26.5493897,134.8460000,1.2820000,-1.2580000
DMPP-1 b,DMPP-1,1,4,0.320,0.002,-0.002,0,86.7761233,-10.6303217,62.5388000,0.1782000,-0.1773000
DMPP-1 c,DMPP-1,1,4,0.320,0.002,-0.002,0,86.7761233,-10.6303217,62.5388000,0.1782000,-0.1773000
DMPP-1 d,DMPP-1,1,4,0.320,0.002,-0.002,0,86.7761233,-10.6303217,62.5388000,0.1782000,-0.1773000
DMPP-1 e,DMPP-1,1,4,0.320,0.002,-0.002,0,86.7761233,-10.6303217,62.5388000,0.1782000,-0.1773000
DMPP-2 b,DMPP-2,1,1,0.104,0.052,-0.058,0,27.4077310,-34.4590985,137.9400000,0.6810000,-0.6750000
DMPP-3 A b,DMPP-3 A,2,1,-0.293,0.003,-0.003,0,91.6243820,-72.5126648,45.2300000,1.6000000,-1.7200000
DMPP-4 b,DMPP-4,1,1,0.459,0.012,-0.012,0,293.5826648,51.2358069,25.3284000,0.0382000,-0.0380000
DP Leo b,DP Leo,2,1,-2.400,,,0,169.3162193,17.9615717,305.6840000,33.5540000,-27.6040000
DS Tuc A b,DS Tuc A,2,1,-0.140,0.008,-0.008,0,354.9154673,-69.1960430,44.0622000,0.0693000,-0.0691000
EPIC 201170410.02,EPIC 201170410,1,1,-1.900,,,0,170.1408561,-4.8070039,134.0000000,45.8000000,-39.8000000
EPIC 201238110 b,EPIC 201238110,1,1,-1.508,0.093,-0.118,0,179.7058532,-3.3894613,159.2590000,1.4140000,-1.3900000
EPIC 201427007 b,EPIC 201427007,1,1,-0.049,,,0,184.6021322,-0.5512886,706.3910000,16.7900000,-16.7900000
EPIC 201497682 b,EPIC 201497682,1,1,-0.766,0.007,-0.007,0,168.9366786,0.4880606,253.0260000,1.6640000,-1.6640000
EPIC 201595106 b,EPIC 201595106,1,1,-0.026,0.012,-0.021,0,183.7203635,1.9681688,232.1000000,2.7060000,-2.6460000
EPIC 201615463 c,K2-166,1,2,0.458,0.012,-0.013,0,185.1880932,2.2823788,476.8820000,9.6920000,-9.3210000
EPIC 201754305 d,K2-16,1,3,-0.761,0.012,-0.013,0,175.0972238,4.5574311,334.9670000,4.1785000,-4.1785000
EPIC 201757695.02,EPIC 201757695,1,1,-0.364,0.325,-0.955,0,173.9385102,4.6164303,577.6000000,33.2000000,-29.8000000
EPIC 201833600 c,K2-50,1,2,-0.874,0.012,-0.012,0,169.4836540,5.9882890,257.4430000,3.2390000,-3.2390000
EPIC 201841433 b,EPIC 201841433,1,1,-0.635,0.018,-0.019,0,175.2067520,6.1348146,436.4880000,8.1780010,-7.8880000
EPIC 205950854 c,K2-168,1,2,-0.176,0.009,-0.010,0,333.1100738,-16.3418863,243.9350000,4.2390000,-4.0990000
EPIC 206024342 b,EPIC 206024342,1,3,-0.170,0.011,-0.011,0,331.2771441,-14.1218019,369.8880000,4.9900000,-4.8600000
EPIC 206024342 c,EPIC 206024342,1,3,-0.170,0.011,-0.011,0,331.2771441,-14.1218019,369.8880000,4.9900000,-4.8600000
EPIC 206024342 d,EPIC 206024342,1,3,-0.170,0.011,-0.011,0,331.2771441,-14.1218019,369.8880000,4.9900000,-4.8600000
EPIC 206032309 b,EPIC 206032309,1,1,-1.730,0.095,-0.122,0,341.2404563,-13.9011223,161.3650000,1.7930000,-1.7930000
EPIC 206042996 b,EPIC 206042996,1,2,-0.980,0.027,-0.029,0,337.5136198,-13.6101475,451.7690000,13.9760000,-13.1760000
EPIC 206042996 c,EPIC 206042996,1,2,-0.980,0.027,-0.029,0,337.5136198,-13.6101475,451.7690000,13.9760000,-13.1760000
EPIC 206215704 b,EPIC 206215704,1,1,-2.088,0.096,-0.123,0,335.0949721,-9.5097112,109.8880000,1.0800000,-1.0800000
EPIC 206317286 b,EPIC 206317286,1,2,-0.593,0.010,-0.010,0,337.6178427,-7.9724560,314.3500000,2.9360000,-2.8820000
EPIC 206317286 c,EPIC 206317286,1,2,-0.593,0.010,-0.010,0,337.6178427,-7.9724560,314.3500000,2.9360000,-2.8820000
EPIC 211822797 b,EPIC 211822797,1,1,-1.153,0.013,-0.013,0,130.4102091,17.6399744,186.1970000,1.3645000,-1.3645000
EPIC 211945201 b,EPIC 211945201,1,1,0.373,0.012,-0.020,0,136.5741931,19.4020565,181.6900000,1.2950000,-1.2770000
EPIC 212297394 b,EPIC 212297394,1,2,-0.505,0.017,-0.017,0,207.2061241,-17.6098985,418.3950000,7.3530000,-7.1070000
EPIC 212297394 c,EPIC 212297394,1,2,-0.467,,,0,207.2061241,-17.6098985,418.3950000,7.3530000,-7.1070000
EPIC 212424622 b,EPIC 212424622,1,1,0.179,0.018,-0.018,0,202.3313765,-14.3594358,611.8040000,10.2850000,-9.9560000
EPIC 212499991 b,EPIC 212499991,1,1,-0.497,0.008,-0.008,0,202.4887520,-12.7347749,283.2900000,2.0430000,-2.0150000
EPIC 212587672 b,EPIC 212587672,1,2,0.006,0.011,-0.011,0,205.4445125,-10.8625468,320.0700000,6.3920000,-6.1520000
EPIC 212587672 c,EPIC 212587672,1,2,0.038,0.024,-0.029,0,205.4445125,-10.8625468,320.0700000,6.3920000,-6.1520000
EPIC 212624936 b,EPIC 212624936,1,2,-0.124,,,0,210.6376171,-10.0236852,561.9290000,8.9130000,-8.6440000
EPIC 212624936 c,EPIC 212624936,1,2,-0.124,,,0,210.6376171,-10.0236852,561.9290000,8.9130000,-8.6440000
EPIC 212737443 b,EPIC 212737443,1,2,-0.751,,,0,204.2215065,-7.3180577,336.2500000,4.7430000,-4.6150000
EPIC 212737443 c,EPIC 212737443,1,2,-0.804,0.014,-0.014,0,204.2215065,-7.3180577,336.2500000,4.7430000,-4.6150000
EPIC 220492298 b,EPIC 220492298,1,1,-0.009,,,0,16.7615005,6.5887980,624.5120000,14.9470000,-14.9470000
EPIC 220554210 c,K2-282,1,2,-0.215,0.016,-0.017,0,13.4321524,7.9952914,496.2890000,7.9020000,-7.6630000
EPIC 220674823 b,EPIC 220674823,1,2,-0.119,,,0,13.0800239,10.7947051,244.5900000,3.0440000,-2.9720000
EPIC 220674823 c,EPIC 220674823,1,2,-0.119,,,0,13.0800239,10.7947051,244.5900000,3.0440000,-2.9720000
EPIC 228836835 b,EPIC 228836835,1,1,-1.612,0.095,-0.121,0,189.5748998,-5.2446247,150.1240000,1.7990000,-1.7580000
EPIC 229004835 b,EPIC 229004835,1,1,0.030,0.017,-0.010,0,186.4860415,-1.4047214,121.9710000,0.8790000,-0.8660000
EPIC 246851721 b,EPIC 246851721,2,1,0.526,0.025,-0.024,0,78.9198197,16.2786991,372.6320000,19.4560000,-17.6440000
EPIC 248847494 b,EPIC 248847494,1,1,0.548,0.014,-0.015,0,159.3890808,11.8427484,551.8860000,12.7520000,-12.7520000
EPIC 249893012 b,EPIC 249893012,1,3,0.356,0.008,-0.008,0,228.2482353,-16.7246474,321.2960000,4.1890000,-4.0850000
EPIC 249893012 c,EPIC 249893012,1,3,0.356,0.008,-0.008,0,228.2482353,-16.7246474,321.2960000,4.1890000,-4.0850000
EPIC 249893012 d,EPIC 249893012,1,3,0.356,0.008,-0.008,0,228.2482353,-16.7246474,321.2960000,4.1890000,-4.0850000
FU Tau b,FU Tau,1,1,-0.699,,,0,65.8974962,25.0506711,133.4950466,22.9649891,-22.9649891
G 196-3 b,G 196-3,1,1,-1.425,0.093,-0.118,0,151.0884754,50.3861806,21.7912000,0.0185500,-0.0185500
G 264-012 b,G 264-012,1,2,-1.972,0.004,-0.005,0,326.6719598,66.8038480,16.0090000,0.0104000,-0.0103000
G 264-012 c,G 264-012,1,2,-1.972,0.004,-0.005,0,326.6719598,66.8038480,16.0090000,0.0104000,-0.0103000
G 9-40 b,G 9-40,1,1,-1.971,0.011,-0.012,0,134.7188514,21.0747961,27.9276000,0.0451000,-0.0450000
GJ 1002 b,GJ 1002,1,2,-2.852,0.006,-0.006,0,1.6764641,-7.5462123,4.8486700,0.0030300,-0.0030400
GJ 1002 c,GJ 1002,1,2,-2.852,0.006,-0.006,0,1.6764641,-7.5462123,4.8486700,0.0030300,-0.0030400
GJ 1061 b,GJ 1061,1,3,-2.770,0.025,-0.026,0,54.0032486,-44.5143104,3.6727800,0.0008900,-0.0009000
GJ 1061 c,GJ 1061,1,3,-2.770,0.025,-0.026,0,54.0032486,-44.5143104,3.6727800,0.0008900,-0.0009000
GJ 1061 d,GJ 1061,1,3,-2.770,0.025,-0.026,0,54.0032486,-44.5143104,3.6727800,0.0008900,-0.0009000
GJ 1132 b,GJ 1132,1,2,-2.321,0.032,-0.024,0,153.7090696,-47.1549358,12.6130000,0.0070000,-0.0070000
GJ 1132 c,GJ 1132,1,2,-2.359,0.032,-0.035,0,153.7090696,-47.1549358,12.6130000,0.0070000,-0.0070000
GJ 1148 b,GJ 1148,1,2,-1.869,0.097,-0.126,0,175.4326081,42.7515862,11.0143000,0.0064000,-0.0065000
